client_id,variation,variation_clean,is_test
7377294,test,test,True
7931364,test,test,True
8156741,control,control,False
5033489,control,control,False
2983878,control,control,False
3461541,control,control,False
6434694,control,control,False
6751236,test,test,True
7429878,test,test,True
5171763,control,control,False
8012228,test,test,True
7825081,test,test,True
6046772,test,test,True
8580049,test,test,True
2067509,test,test,True
3944371,control,control,False
8987034,test,test,True
5836504,test,test,True
9111035,test,test,True
2685663,test,test,True
2722950,control,control,False
7218675,control,control,False
3009581,control,control,False
8091872,control,control,False
1755496,test,test,True
9128400,test,test,True
3334970,test,test,True
559468,test,test,True
1925220,control,control,False
4979031,test,test,True
9910098,control,control,False
983122,control,control,False
8249646,control,control,False
8950069,test,test,True
9058579,control,control,False
9039182,test,test,True
3010914,control,control,False
7021345,control,control,False
963874,test,test,True
1546314,control,control,False
7767849,test,test,True
7068149,control,control,False
8118036,test,test,True
9726680,test,test,True
4519160,control,control,False
6773284,test,test,True
7429772,control,control,False
2368143,test,test,True
6308576,test,test,True
3956597,control,control,False
3052488,control,control,False
8758402,control,control,False
9664272,control,control,False
6905463,control,control,False
1144410,control,control,False
2548388,test,test,True
9932367,control,control,False
3149254,test,test,True
2493468,test,test,True
7887617,test,test,True
3317334,control,control,False
5512354,control,control,False
7889092,control,control,False
5267696,test,test,True
7060702,control,control,False
8569065,control,control,False
2006775,test,test,True
6030486,control,control,False
6280351,control,control,False
2108691,control,control,False
2599976,control,control,False
2853115,control,control,False
4554752,control,control,False
8968789,control,control,False
1212721,test,test,True
3322967,test,test,True
6486309,test,test,True
5436729,test,test,True
3074366,test,test,True
3291778,control,control,False
7059333,control,control,False
5188022,control,control,False
6884073,control,control,False
5206988,test,test,True
3366060,test,test,True
7342579,test,test,True
1465396,test,test,True
4780398,control,control,False
2152873,control,control,False
9129878,control,control,False
4023943,control,control,False
521003,control,control,False
2021664,test,test,True
2601570,test,test,True
6066143,test,test,True
464620,control,control,False
3700898,test,test,True
1596808,control,control,False
6578023,control,control,False
1455127,test,test,True
9595233,control,control,False
8560542,test,test,True
2616663,test,test,True
6793640,control,control,False
3097635,test,test,True
409450,control,control,False
7505821,test,test,True
2802293,control,control,False
7928244,test,test,True
6094349,test,test,True
6911162,control,control,False
5379396,test,test,True
2035117,control,control,False
2379374,test,test,True
6362594,control,control,False
749827,test,test,True
8462755,control,control,False
766467,control,control,False
7829434,control,control,False
4374006,test,test,True
5586955,test,test,True
5364422,test,test,True
4374056,test,test,True
9817774,test,test,True
4040468,test,test,True
5651761,test,test,True
1003061,control,control,False
4516267,control,control,False
71476,control,control,False
5599391,control,control,False
2615082,test,test,True
8466565,test,test,True
2471812,test,test,True
864721,control,control,False
5766460,test,test,True
6379996,test,test,True
3391330,test,test,True
5449569,test,test,True
3028832,test,test,True
3703213,test,test,True
1555813,test,test,True
2095170,test,test,True
837625,control,control,False
1735341,control,control,False
3216999,control,control,False
5721401,test,test,True
9542949,control,control,False
9894399,control,control,False
5242744,test,test,True
5566976,test,test,True
934442,control,control,False
4363111,control,control,False
9340301,control,control,False
9967085,control,control,False
6251290,test,test,True
9573768,control,control,False
160938,control,control,False
5525291,test,test,True
2674649,control,control,False
3399215,control,control,False
6804613,control,control,False
928670,test,test,True
9960929,test,test,True
7858061,test,test,True
7471769,control,control,False
65845,control,control,False
1732360,control,control,False
6591984,control,control,False
4133463,test,test,True
2541876,test,test,True
1483517,test,test,True
2044842,control,control,False
707815,test,test,True
5457890,control,control,False
6455115,control,control,False
180404,control,control,False
7263999,test,test,True
2622312,control,control,False
8962467,control,control,False
2190311,test,test,True
3806081,test,test,True
6061376,control,control,False
3570669,control,control,False
7477624,control,control,False
6282795,control,control,False
6324067,control,control,False
5432649,control,control,False
331379,control,control,False
2062763,test,test,True
1163409,test,test,True
2553718,test,test,True
